annotName,h2,size,trueEnrichment,enrichment,enrichmentSE
base,0.0912519349021066,1,1,1,0.0400486134569252
Coding_UCSC,0.0105316628834367,0.0310369513739743,3.28022554789563,3.71856871502925,0.623022159841122
Coding_UCSC_extend_500,0.0168654258527023,0.121923013381794,1.43601452101585,1.51589647028677,0.214023751289287
Conserved_LindbladToh,0.00774480841224162,0.0277658461369018,2.99002708709436,3.05673425692776,0.642520256445148
Conserved_LindbladToh_extend_500,0.029344822364828,0.362178534060246,1.11327121426138,0.887905398161037,0.100323350016787
DHS_peaks_Trynka,0.0156361656972288,0.146329643702847,1.41640823396226,1.17099722771406,0.215891786814751
DHS_Trynka,0.0213499414154904,0.212225342805221,1.32370100716959,1.10244609099789,0.170795099641173
DHS_Trynka_extend_500,0.0595049679356984,0.595979954843328,1.02608089063246,1.09415661559735,0.0746494677890058
Enhancer_Hoffman,0.00557609318504167,0.0632964370284707,1.18444819117449,0.965403072606727,0.311464478204681
Enhancer_Hoffman_extend_500,0.0126699259177131,0.139941626741561,0.903415349487965,0.992167679503495,0.176397928916233
Promoter_UCSC,0.00968241829441928,0.06240431741836,1.89912181402843,1.70030613430079,0.321017590140264
Promoter_UCSC_extend_500,0.0140217148243701,0.0775923784349358,1.75167402085372,1.98034102132026,0.285568688242492
Repressed_Hoffman,0.0313507129490595,0.277250949942177,1.24592350894124,1.23917401190381,0.125219064111648
Repressed_Hoffman_extend_500,0.0555005960177517,0.484035464507957,1.26873188070715,1.25654597150239,0.0729655685130474
Random_snps_10pct,0.0099050716078404,0.0988160140976926,0.998747820382725,1.0984700129578,0.295919572835935
Random_snps_1pct,0.00254946728431882,0.00998953686877031,2.0671117951204,2.79680383998379,1.1340540272862
Random_blocks_10pct,0.00725418005254509,0.101712649374966,0.861137215668844,0.7815761206572,0.107954158547619
Random_blocks_1pct,0.0090877667970227,0.0626576353323421,1.37785554721511,1.58942884816672,0.21317120966672
